COMPLAINID	COMPLAINDATE	COMPLETIONDATE	LASTNAME	FIRSTNAME	GENDER	BROKERFULLNAME	COMMISSIONSCHEME	DESCRIPTION_CATEGORY	REGION	DESCRIPTION_STATUS	STATE	PRODUCT	DESCRIPTION_PRIORITIES	DESCRIPTION_SOURCE	DESCRIPTION_TYPE
1227	16-11-2012	26-11-2012	Bruce	Howard	MALE	Robert Fields	Bonus Based	INDEPENDENT DISMISSAL	West	CLOSED	Colorado	OOT-061	Non Urgent	Company HQ	Email
1228	19-11-2012	27-11-2012	Judith	Cruz	FEMALE	Joseph Brooks	Bonus Based	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Missouri	CAS-022	Non Urgent	Company HQ	Written
1229	19-11-2012	21-12-2012	Sarah	Fields	FEMALE	Raymond Sanders	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Texas	MOT-009	Non Urgent	Bank Branch	Written
1230	20-11-2012	21-11-2012	Wayne	Gonzales	MALE	Frank West	No Commission	CONTRACT AUTHORITY CAUSE	Northeast	CLOSED	Connecticut	CAP-025	Urgent	Company HQ	Written
1231	20-11-2012	21-11-2012	Kathryn	Hart	FEMALE	Lawrence Stevens	Comm2	CONTRACT AUTHORITY CAUSE	South	CLOSED	North Carolina	LBL-044	Urgent	Company HQ	Written
1232	20-11-2012	21-11-2012	David	Ryan	MALE	Todd Austin	Comm3	CONTRACT AUTHORITY CAUSE	West	CLOSED	Arizona	CAP-027	Urgent	Company HQ	Written
1233	20-11-2012	22-11-2012	Harry	Duncan	MALE	Jeffrey Fisher	Comm7	PAYMENT POLICY	Midwest	CLOSED	Indiana	CAS-072	Urgent	Company HQ	Written
1234	16-11-2012	27-11-2012	Alan	Barnes	MALE	Clarence Fox	No Commission	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	California	MOT-007	Non Urgent	Company HQ	Written
1235	20-11-2012	11-12-2012	Mylan Ltd			Jose Brown	Comm2	DISCLAIMER OF DISMISSAL	West	CLOSED	California	CAP-070	Non Urgent	Company HQ	Written
1236	20-11-2012	21-12-2012	Sara	Coleman	FEMALE	Jonathan Adams	Comm8	FRAUD	South	CLOSED	Texas	FPT-060	Non Urgent	Company HQ	Written
1237	20-11-2012	03-12-2012	Keith	Reid	MALE	Jeffrey Murray	Comm2	PAYMENT POLICY	West	CLOSED	Utah	HHC-057	Non Urgent	Company HQ	Written
1238	20-11-2012	30-11-2012	Timothy	Johnston	MALE	Albert Hunt	Comm5	DO NOT USE A REQUEST	Midwest	CLOSED	Michigan	HHC-058	Non Urgent	Company HQ	Fax
1239	20-11-2012	29-11-2012	Rose	Duncan	FEMALE	Jack Meyer	Comm2	INDEPENDENT DISMISSAL	West	CLOSED	Washington	CAS-067	Non Urgent	Company HQ	Written
1240	19-11-2012	22-11-2012	Judy	George	FEMALE	David Fox	Bonus Based	FRAUD	South	CLOSED	Oklahoma	CAP-025	Urgent	Call Center	Phone
1241	20-11-2012	18-01-2013	Carolyn	Harper	FEMALE	Arthur Garza	Comm2	CERTIFICATE OF CONTENTS	West	CLOSED	California	CAS-076	Non Urgent	Bank Branch	Written
1242	20-11-2012	12-12-2012	Mary	Mccoy	FEMALE	Alan Howard	Comm3	CERTIFICATE OF CONTENTS	South	CLOSED	Florida	HOC-047	Non Urgent	Partner	Email
1243	20-11-2012	21-11-2012	Matthew	Adams	MALE	Michael Olson	No Commission	POWER FOR PRESENTATION OR WRONG	Midwest	CLOSED	Michigan	CAS-066	Non Urgent	Company HQ	Written
1244	21-11-2012	23-11-2012	Lois	Porter	FEMALE	Richard Hanson	Comm8	PAYMENT POLICY	South	CLOSED	Florida	CAS-075	Non Urgent	Intermediary	Email
1245	21-11-2012	03-12-2012	Shawn	Young	MALE	Michael Olson	No Commission	CONTRACT AUTHORITY CAUSE	Midwest	CLOSED	Illinois	HOC-048	Urgent	Company HQ	Written
1246	21-11-2012	23-11-2012	Linda	Wheeler	FEMALE	Jimmy Hart	Comm2	CONTRACT AUTHORITY CAUSE	Midwest	CLOSED	Indiana	CAS-020	Urgent	Company HQ	Written
1247	21-11-2012	06-12-2012	Christopher	Ford	MALE	Keith Hernandez	No Commission	INDEPENDENT DISMISSAL	Midwest	CLOSED	Illinois	CAP-029	Non Urgent	Company HQ	Written
1248	21-11-2012	10-12-2012	Douglas	Powell	MALE	Roger Lopez	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Texas	MOT-007	Non Urgent	Tele	Email
1249	21-11-2012	21-11-2012	Arthur	Rodriguez	MALE	Eugene Clark	Comm3	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Oklahoma	CAS-019	Urgent	Call Center	Call center
1250	21-11-2012	23-11-2012	Jacqueline	Warren	FEMALE	Larry Walker	Comm2	CERTIFICATE OF CONTENTS	South	CLOSED	Texas	BNM-041	Non Urgent	Company HQ	Email
1251	22-11-2012	13-12-2012	Cynthia	Cruz	FEMALE	Ralph White	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Ohio	CAP-026	Urgent	Call Center	Call center
1253	22-11-2012	06-12-2012	Laura	Richards	FEMALE	Justin Robinson	Comm3	POOR SERVICE	South	CLOSED	Florida	CAS-013	Non Urgent	Company HQ	Written
1254	19-11-2012	18-12-2012	Nicole	Simmons	FEMALE	Douglas Morris	Bonus Based	INDEPENDENT DISMISSAL	Midwest	CLOSED	Indiana	CAP-024	Urgent	Company HQ	Written
1255	22-11-2012	22-11-2012	Willie	Griffin	MALE	Jerry Dean	Comm4	DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS	South	CLOSED	Oklahoma	HOC-050	Urgent	Call Center	Call center
1256	22-11-2012	22-11-2012	Ralph	Elliott	MALE	Charles Martinez	Bonus Based	CONTRACT NOTICE USE OR FAITH	West	CLOSED	California	CAP-024	Urgent	Company HQ	In person
1257	23-11-2012	12-12-2012	Martin	Miller	MALE	Victor Robertson	No Commission	PAYMENT POLICY	South	CLOSED	South Carolina	BMB-042	Non Urgent	Company HQ	Written
1258	23-11-2012	11-12-2012	Nancy	Henderson	FEMALE	Edward Gilbert	Comm2	APPLICATION REQUEST	West	CLOSED	California	HOC-048	Non Urgent	Company HQ	Written
1259	01-11-2012	27-11-2012	Carolyn	Gibson	FEMALE	Ralph Hall	Comm2	POOR SERVICE	Midwest	CLOSED	Illinois	HHC-058	Non Urgent	Company HQ	Written
1260	23-11-2012	12-12-2012	Kenneth	Simpson	MALE	Joseph Weaver	Comm2	CERTIFICATE OF CONTENTS	Midwest	CLOSED	South Dakota	CAS-016	Non Urgent	Company HQ	Written
1261	23-10-2012	23-11-2012	Marie	Holmes	FEMALE	Peter Reynolds	Comm2	DISCLAIMER OF A SERVICE 	Midwest	CLOSED	Wisconsin	BNM-037	Non Urgent	Company HQ	Written
1262	23-11-2012	23-11-2012	Ashley	Burton	FEMALE	Mark Moore	Bonus Based	SECURITY CONTRACT AGENCY SAINT	Midwest	CLOSED	Indiana	MOT-009	Urgent	Call Center	Call center
1263	23-11-2012	12-12-2012	Kevin	Arnold	MALE	Juan Richardson	No Commission	POWER FOR PRESENTATION OR WRONG	Midwest	CLOSED	Illinois	BMB-042	Non Urgent	Company HQ	Written
1264	23-11-2012	07-12-2012	Jose	Gomez	MALE	Phillip Jacobs	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New Jersey	CAS-016	Non Urgent	CRO	Written
1265	26-11-2012	10-12-2012	Angela	Gonzales	FEMALE	Ryan Porter	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Florida	LBL-044	Non Urgent	Company HQ	Written
1266	07-11-2012	14-11-2012	Debra	Fernandez	FEMALE	Andrew Diaz	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Pennsylvania	CAP-071	Non Urgent	Company HQ	Written
1267	12-11-2012	26-11-2012	Lori	Richards	FEMALE	Antonio Morales	Comm2	POOR SERVICE	Midwest	CLOSED	Kansas	CAP-023	Non Urgent	Company HQ	Email
1268	02-07-2012	04-09-2012	Julie	Williams	FEMALE	Randy Shaw	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	Northeast	CLOSED	Massachusetts	CAS-066	Non Urgent	Company HQ	Written
1269	07-11-2012	07-11-2012	Donald	Rogers	MALE	Robert Fields	Bonus Based	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Wisconsin	CAS-018	Non Urgent	Bank Branch	Written
1270	26-11-2012	30-11-2012	Lawrence	Ward	MALE	Roger Lopez	Comm2	POWER FOR PRESENTATION OR WRONG	South	CLOSED	Georgia	BNM-039	Non Urgent	Company HQ	Phone
1271	26-11-2012	09-01-2013	Ashley	Torres	FEMALE	Juan Richardson	No Commission	REGISTRATION FORM OF REGISTRATION	South	CLOSED	Florida	PNM-001	Non Urgent	Company HQ	Written
1272	26-11-2012	07-12-2012	Annie	Anderson	FEMALE	Antonio Morales	Comm2	REGISTRATION FORM OF REGISTRATION	Northeast	CLOSED	Connecticut	BNM-033	Non Urgent	Company HQ	Written
1273	19-11-2012	29-11-2012	David	Lewis	MALE	Ronald Welch	Comm7	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Tennessee	LBL-045	Non Urgent	Company HQ	Written
1274	27-11-2012	13-12-2012	Janet	Ferguson	FEMALE	Peter Chapman	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Texas	CAP-029	Non Urgent	Bank HQ	Written
1275	27-11-2012	28-11-2012	Daniel	Hart	MALE	Scott Clark	Comm2	PRODUCTION PRODUCT	South	CLOSED	Virginia	CAP-068	Urgent	Call Center	Call center
1276	27-11-2012	20-12-2012	Christine	Mason	FEMALE	Charles Castillo	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Indiana	HOC-053	Urgent	Company HQ	Written
1277	27-11-2012	27-11-2012	Peter	Simpson	MALE	Roger Rogers	No Commission	POOR SERVICE	South	CLOSED	Tennessee	BNM-039	Non Urgent	Company HQ	Phone
1278	28-11-2012	12-12-2012	Kathleen	Harris	FEMALE	Daniel Hunter	Comm8	SELFDETERMINED EXPRESSION OF INSURANCE	West	CLOSED	California	HOC-052	Non Urgent	Company HQ	Written
1279	28-11-2012	18-12-2012	Michael	Miller	MALE	Ralph Alvarez	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Connecticut	CAS-076	Non Urgent	Company HQ	Written
1280	28-11-2012	19-12-2012	Steven	Brown	MALE	Eric Morrison	Bonus Based	REGISTRATION FORM OF REGISTRATION	West	CLOSED	California	HOC-050	Non Urgent	Company HQ	Written
1281	28-11-2012	14-12-2012	Jimmy	Hughes	MALE	Benjamin Sullivan	Comm7	IGNORANCE OF EXISTENCE	West	CLOSED	Washington	HHC-078	Non Urgent	Company HQ	Written
1282	28-11-2012	28-11-2012	Ernest	Martinez	MALE	Kenneth Fields	Comm3	DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS	South	CLOSED	Georgia	CAS-020	Urgent	Call Center	Call center
1283	28-11-2012	28-11-2012	Philip	Larson	MALE	Michael Evans	Comm3	POOR SERVICE	West	CLOSED	California	CAS-021	Urgent	Call Center	Call center
1284	28-11-2012	07-01-2013	Barbara	George	FEMALE	Matthew Rivera	Comm2	TERMS IN PRODUCT USE	Midwest	CLOSED	Illinois	HHC-063	Urgent	Company HQ	Written
1285	29-11-2012	06-12-2012	Katherine	Garcia	FEMALE	Joseph Stone	Comm2	POWER FOR PRESENTATION OR WRONG	West	CLOSED	California	HOC-054	Non Urgent	Company HQ	Written
1286	29-11-2012	12-12-2012	Heather	Greene	FEMALE	Richard Moreno	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Iowa	HHC-078	Non Urgent	Company HQ	Email
1287	29-11-2012	17-12-2012	Juan	Henderson	MALE	Bruce Simmons	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Oklahoma	FPT-060	Non Urgent	Company HQ	Written
1288	29-11-2012	03-12-2012	Stephen	Ross	MALE	Carlos Simpson	Comm9	POOR SERVICE	South	CLOSED	South Carolina	BNM-033	Non Urgent	Company HQ	Email
1291	29-11-2012	12-12-2012	Henry	Little	MALE	Jonathan Adams	Comm8	APPLICATION REQUEST	Midwest	CLOSED	Indiana	FPT-060	Non Urgent	Company HQ	Written
1293	29-11-2012	28-12-2012	Nicole	Nichols	FEMALE	Christopher Harper	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	North Carolina	CAS-019	Non Urgent	Company HQ	Written
1294	29-11-2012	18-12-2012	Andrew	Ross	MALE	Steve Bryant	Bonus Based	DISCLAIMER OF DISMISSAL	Midwest	CLOSED	Illinois	CAS-076	Non Urgent	Company HQ	Written
1296	30-11-2012	13-12-2012	Willie	Watkins	MALE	Sean Montgomery	Comm2	DO NOT USE A REQUEST	Northeast	CLOSED	Massachusetts	CAP-023	Non Urgent	Company HQ	Email
1297	30-11-2012	18-12-2012	Jeffrey	King	MALE	Ryan Gardner	No Commission	DISCLAIMER OF A SERVICE 	West	CLOSED	California	BNM-073	Non Urgent	Company HQ	Written
1298	30-11-2012	07-01-2013	Lawrence	Welch	MALE	Douglas Morris	Bonus Based	USE OF CANCELED CERTIFICATE CARD	Northeast	CLOSED	New Jersey	LOL-046	Urgent	Company HQ	Court Order
1299	30-11-2012	31-12-2012	Tammy	Dixon	FEMALE	Jeffrey Martinez	Bonus Based	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	South	CLOSED	Louisiana	HOC-047	Non Urgent	Company HQ	Written
1300	03-12-2012	03-12-2012	Kevin	Lewis	MALE	Alan Howard	Comm3	PAYMENT POLICY	West	CLOSED	Oregon	LBL-044	Urgent	Call Center	Call center
1301	03-12-2012	19-12-2012	Phillip	Harvey	MALE	Gerald Nelson	Comm4	DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS	Northeast	CLOSED	New Jersey	CAS-066	Urgent	Call Center	Call center
1303	21-11-2012	26-11-2012	Jessica	West	FEMALE	Clarence Fox	No Commission	SECURITY PUBLISHING CONTRACT	Midwest	CLOSED	North Dakota	LBL-074	Non Urgent	Company HQ	Phone
1304	03-12-2012	07-01-2013	Alan	Hansen	MALE	Henry Oliver	Bonus Based	POOR SERVICE	South	CLOSED	Florida	LBL-043	Non Urgent	Company HQ	Email
1305	03-12-2012	13-12-2012	Todd	Larson	MALE	Joseph Weaver	Comm2	PAYMENT POLICY	Midwest	CLOSED	Minnesota	CAP-069	Non Urgent	Company HQ	Phone
1306	04-12-2012	04-12-2012	Cynthia	Fox	FEMALE	Louis Reyes	Comm9	DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS	Midwest	CLOSED	Ohio	HOC-047	Urgent	Call Center	Call center
1307	29-11-2012	29-11-2012	Frank	Sanchez	MALE	Alan Alvarez	Comm2	POOR SERVICE	Northeast	CLOSED	Connecticut	HHC-057	Non Urgent	Company HQ	Phone
1308	04-12-2012	11-12-2012	Julie	George	FEMALE	Jason Palmer	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	California	MOT-007	Non Urgent	Company HQ	Written
1309	04-12-2012	10-12-2012	Louise	Long	FEMALE	Jack Price	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Connecticut	OOT-061	Non Urgent	Company HQ	Written
1310	04-12-2012	12-12-2012	Emily	Gibson	FEMALE	Kenneth Bradley	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	California	HOC-053	Non Urgent	Company HQ	Written
1311	04-12-2012	06-12-2012	Keith	Gutierrez	MALE	Eugene Holmes	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	Nevada	BNM-036	Non Urgent	Company HQ	Written
1312	04-12-2012	04-12-2012	Albert	Kennedy	MALE	Justin Reid	Bonus Based	POWER FOR PRESENTATION OR WRONG	Midwest	CLOSED	South Dakota	CAS-022	Urgent	Call Center	Call center
1313	04-12-2012	05-12-2012	Sarah	Garza	FEMALE	Alan Alvarez	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Northeast	CLOSED	Massachusetts	CAP-026	Non Urgent	Company HQ	Phone
1314	04-12-2012	05-12-2012	Steven	Williams	MALE	Kevin Wagner	Bonus Based	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Northeast	CLOSED	Connecticut	CAP-071	Non Urgent	Company HQ	Phone
1315	05-12-2012	07-01-2013	Marilyn	Watkins	FEMALE	Larry Dixon	Bonus Based	POOR SERVICE	Midwest	CLOSED	Indiana	BNM-035	Non Urgent	Company HQ	Email
1316	05-12-2012	24-01-2013	Marie	Dixon	FEMALE	George Hudson	Comm7	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Tennessee	HOC-056	Non Urgent	Company HQ	Written
1317	05-12-2012	03-01-2013	Carl	Perkins	MALE	Shawn George	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Massachusetts	MMP-004	Non Urgent	Company HQ	Written
1318	05-12-2012	12-12-2012	Helen	Ramirez	FEMALE	Edward Gilbert	Comm2	ACCOMMODATION RECONSTRUCTION	Midwest	CLOSED	Illinois	HHC-063	Non Urgent	Company HQ	Fax
1320	05-12-2012	06-12-2012	Jessica	Ross	FEMALE	Todd Parker	Comm5	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Midwest	CLOSED	Illinois	CAS-067	Non Urgent	CRO	Phone
1322	06-12-2012	06-12-2012	Mildred	Wilson	FEMALE	Juan Bryant	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	District of Columbia	BNM-040	Urgent	Call Center	Call center
1323	06-12-2012	16-01-2013	Alice	Rivera	FEMALE	Frank Robinson	Comm3	DISCLAIMER OF DISMISSAL	Midwest	CLOSED	Kansas	PNM-001	Urgent	Company HQ	Written
1324	06-12-2012	18-12-2012	Norma	Reed	FEMALE	Jeffrey Murray	Comm2	PRODUCTION PRODUCT	Northeast	CLOSED	Connecticut	CAS-018	Urgent	Call Center	Call center
1325	06-12-2012	19-02-2013	Diane	Schmidt	FEMALE	Thomas Johnson	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New Jersey	CAS-072	Non Urgent	Company HQ	Written
1326	06-12-2012	17-12-2012	Scott	Romero	MALE	Howard Hansen	Comm5	NO CONTRACT NOTICE OR ON	South	CLOSED	Florida	BNM-032	Non Urgent	Company HQ	Written
1327	06-12-2012	07-01-2013	Clarence	Alvarez	MALE	Bobby Lane	Comm7	SELFDETERMINED EXPRESSION OF INSURANCE	West	CLOSED	California	CAS-017	Non Urgent	Company HQ	Fax
1330	06-12-2012	06-12-2012	Harold	Johnston	MALE	Charles Jordan	No Commission	POOR SERVICE	Midwest	CLOSED	Michigan	CAS-014	Non Urgent	Company HQ	Written
1331	06-12-2012	11-12-2012	Amy	Mitchell	FEMALE	Aaron Collins	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	LBL-044	Non Urgent	CRO	Court Order
1332	07-12-2012	07-12-2012	Ernest	Hanson	MALE	Justin Reid	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	Northeast	CLOSED	New Jersey	CAP-023	Urgent	Call Center	Call center
1333	07-12-2012	20-12-2012	Kathryn	Mcdonald	FEMALE	Lawrence Palmer	Comm2	REGISTRATION FORM OF REGISTRATION	West	CLOSED	California	CAP-026	Non Urgent	Company HQ	Written
1334	07-12-2012	20-12-2012	Helen	Duncan	FEMALE	Todd Hawkins	Bonus Based	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Illinois	HHC-063	Non Urgent	Company HQ	Court Order
1335	07-12-2012	10-12-2012	Emily	Baker	FEMALE	Daniel Wagner	Comm3	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Midwest	CLOSED	Illinois	MMP-005	Non Urgent	Company HQ	Phone
1336	10-12-2012	20-12-2012	Phyllis	Edwards	FEMALE	Paul Meyer	Comm2	PAYMENT POLICY	Midwest	CLOSED	Illinois	CAP-071	Non Urgent	Company HQ	Written
1338	10-12-2012	03-01-2013	Jeffrey	Ellis	MALE	Clarence Duncan	Comm2	IGNORANCE OF EXISTENCE	Northeast	CLOSED	Connecticut	BNM-035	Non Urgent	Company HQ	Written
1340	10-12-2012	18-12-2012	Charles	Rogers	MALE	Earl Meyer	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	Northeast	CLOSED	Massachusetts	CAS-065	Non Urgent	Company HQ	Written
1341	10-12-2012	21-01-2013	Jeremy	Ellis	MALE	Dennis Washington	No Commission	REGISTRATION FORM OF REGISTRATION	South	CLOSED	Florida	MOT-007	Urgent	Call Center	Call center
1342	10-12-2012	13-12-2012	Howard	Daniels	MALE	Jose Russell	Comm9	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Illinois	FPT-060	Non Urgent	Company HQ	Written
1344	03-12-2012	18-12-2012	Patricia	Kelly	FEMALE	Andrew Diaz	Bonus Based	SELFDETERMINED EXPRESSION OF INSURANCE	West	CLOSED	California	CAP-025	Non Urgent	Company HQ	Written
1347	27-11-2012	12-12-2012	Maria	Murray	FEMALE	Arthur Peters	Comm8	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Illinois	MMP-006	Non Urgent	Company HQ	Fax
1348	12-12-2012	24-12-2012	Joshua	Thompson	MALE	Nicholas Campbell	Comm7	DO NOT USE A REQUEST	South	CLOSED	Oklahoma	CAS-077	Non Urgent	Call Center	Call center
1349	12-12-2012	12-12-2012	Patricia	Sanchez	FEMALE	Andrew Williamson	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	Northeast	CLOSED	New York	BNM-031	Urgent	Call Center	Call center
1350	12-12-2012	09-01-2013	Andrew	Chapman	MALE	Paul Andrews	Comm5	DISCLAIMER OF DISMISSAL	West	CLOSED	Washington	HOC-056	Non Urgent	Company HQ	Email
1351	12-12-2012	17-12-2012	Janice	Butler	FEMALE	Edward Ferguson	Comm5	POOR SERVICE	West	CLOSED	Washington	CAP-024	Non Urgent	Company HQ	Email
1352	12-12-2012	07-01-2013	Donald	Arnold	MALE	Steven Long	Bonus Based	IGNORANCE OF EXISTENCE	South	CLOSED	South Carolina	CAP-023	Non Urgent	Company HQ	Written
1353	12-12-2012	15-02-2013	James	Alexander	MALE	Walter Gomez	No Commission	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Indiana	HHC-058	Non Urgent	Company HQ	Fax
1354	12-12-2012	07-01-2013	Gregory	Porter	MALE	Harry Washington	Comm3	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Michigan	MMP-006	Non Urgent	Company HQ	Fax
1355	12-12-2012	25-01-2013	Jeremy	Walker	MALE	Phillip Stephens	Bonus Based	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Minnesota	CAS-022	Urgent	Company HQ	Court Order
1356	11-12-2012	07-01-2013	Elizabeth	Perkins	FEMALE	Bruce Wallace	No Commission	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Indiana	BNM-039	Urgent	Company HQ	Court Order
1357	13-12-2012	21-12-2012	Ernest	Gomez	MALE	Jose Russell	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	North Carolina	BNM-073	Urgent	Call Center	Call center
1358	13-12-2012	11-01-2013	Adam	Matthews	MALE	Joshua Taylor	Comm7	POOR SERVICE	Midwest	CLOSED	Michigan	CAP-028	Non Urgent	CRO	In person
1359	13-12-2012	23-01-2013	Clarence	Medina	MALE	Alan Owens	Comm4	MANAGEMENTNOT DECISION OF ANOTHER COMPANY CONTRACT	Midwest	CLOSED	Indiana	CAS-012	Urgent	Call Center	Call center
1360	03-12-2012	24-12-2012	Christina	Lawrence	FEMALE	Brian Hansen	Comm2	CONTRACT NOTICE USE OR FAITH	Midwest	CLOSED	Illinois	MMP-004	Non Urgent	Company HQ	Written
1361	13-12-2012	20-12-2012	Barbara	Moreno	FEMALE	Lawrence Howell	Comm7	REGISTRATION FORM OF REGISTRATION	West	CLOSED	California	CAS-013	Non Urgent	Company HQ	Written
1362	13-12-2012	20-12-2012	Louis	Hamilton	MALE	Clarence Fox	No Commission	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Indiana	CAS-019	Non Urgent	Company HQ	Written
1363	13-12-2012	10-01-2013	Jane	Willis	FEMALE	George Hudson	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Rhode Island	CAS-072	Non Urgent	Company HQ	Fax
1364	13-12-2012	13-12-2012	Angela	Long	FEMALE	Larry Ellis	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Ohio	HOC-048	Urgent	Call Center	Call center
1365	20-11-2012	20-12-2012	Bonnie	Wells	FEMALE	Jason Vasquez	No Commission	SELFDETERMINED EXPRESSION OF INSURANCE	South	CLOSED	Georgia	CAS-076	Non Urgent	Company HQ	Written
1366	14-12-2012	20-12-2012	Michelle	Shaw	FEMALE	Jeffrey Williamson	Comm6	DIFFERENCES IN PRICE POLITICS	Northeast	CLOSED	Maine	BNM-038	Non Urgent	Company HQ	Email
1367	14-12-2012	08-01-2013	Michael	Hanson	MALE	Ralph Hall	Comm2	REGISTRATION FORM OF REGISTRATION	Midwest	CLOSED	Michigan	BNM-032	Non Urgent	Company HQ	Written
1369	14-12-2012	07-01-2013	Doris	Gonzales	FEMALE	Ryan Gardner	No Commission	DISCLAIMER OF DISMISSAL	South	CLOSED	Florida	HOC-051	Non Urgent	Company HQ	Fax
1370	13-12-2012	08-02-2013	Nicholas	Gibson	MALE	Fred Morris	Comm2	DIFFERENCES IN PRICE POLITICS	Northeast	CLOSED	Massachusetts	HOC-049	Non Urgent	Company HQ	Written
1371	13-12-2012	18-12-2012	Sean	Baker	MALE	Joseph Hill	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Washington	LOL-046	Non Urgent	Company HQ	Phone
1372	21-11-2012	19-12-2012	Donna	Elliott	FEMALE	Harry Mason	Comm2	POOR SERVICE	South	CLOSED	Mississippi	CAS-019	Non Urgent	Company HQ	Phone
1374	19-12-2012	21-01-2013	Albert	Ray	MALE	Jeffrey Fisher	Comm7	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Midwest	CLOSED	Missouri	MMP-006	Non Urgent	Company HQ	Written
1375	19-12-2012	08-01-2013	Kenneth	Ruiz	MALE	Martin Patterson	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Idaho	CAP-068	Non Urgent	Tele	Written
1376	19-12-2012	23-01-2013	Barbara	Vasquez	FEMALE	Jose Spencer	Comm2	SECURITY CONTRACT AGENCY SAINT	West	CLOSED	Colorado	HOC-048	Non Urgent	Company HQ	Fax
1377	19-12-2012	25-01-2013	Gary	Castillo	MALE	Scott Burns	Comm7	POOR SERVICE	Midwest	CLOSED	Illinois	CAS-016	Non Urgent	Company HQ	Fax
1378	20-12-2012	08-01-2013	Martin	Simpson	MALE	Eugene Fowler	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	CAP-028	Non Urgent	Company HQ	Written
1379	20-12-2012	23-01-2013	Keith	Austin	MALE	Sean Russell	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Florida	CAS-066	Non Urgent	Company HQ	Fax
